"Con.";"APPEZZAMENTO";"Lav.";"PARCELLA";"REPLICA";"variogramma";"ORDINE";"ORDINE.ANALISI";"cmc.SASSI";"scatola";"gr.TARA";"gr.105";"data.ammollo";"data.vagliatura";"data.pesatura";"Note";"presenza.pagliuzze";"coord.X";"coord.Y";"gr.TERRA.FINE";"cmc.TERRA.FINE.REALE";"cmc.TERRA.FINE.APPARENTE";"cmc.porosita";"poros.perc";"densita.apparente";"RIGA";"COLONNA";"SUB.PLOT";"App."
"CO";"10";"B";"2";"15";TRUE;45;-1.61;25;NA;361;1489;"04/11/15";"04/11/15";"26/11/15";"Sassi buttati prima di pesarli! Volume ottenuto per differenza";"";174;58.4806896551724;1128;425.660377358491;829.1;403.439622641509;0.486599472490061;1.36051139790134;"2";"3";"2.3";"SX"
"OO";"1";"B";"2";"Q";TRUE;15;98.89;4;"6";181;1323;"03/02/16";"05/02/16";"16-02-2016";"";"poche";30;61.5344827586207;1142;430.943396226415;850.1;419.156603773585;0.493067408273832;1.34337136807434;"2";"3";"2.3";"DX"
"OO";"1";"A";"1";"b";FALSE;37;1.32;17;"23";360.08;1543;"25/01/15";"03/02/15";"16/02/16";"";"assenti";6;103.5;1182.92;446.384905660377;837.1;390.715094339623;0.466748410392573;1.41311671245968;"1";"1";"1.1";"DX"
"OO";"1";"B";"1";"b";FALSE;41;-1.86;28;"7";362;1542;"23/12/15";"23/12/15";"31/12/15";"";"poche";18;103.5;1180;445.283018867925;826.1;380.816981132075;0.460981698501483;1.42839849897107;"1";"2";"1.2";"DX"
"OO";"3";"A";"1";"b";FALSE;38;-1.24;190;"8";359;1214;"23/12/15";"23/12/15";"31/12/15";"";"poche";42;103.5;855;322.641509433962;664.1;341.458490566038;0.514167279876582;1.28745670832706;"1";"1";"1.1";"SX"
"OO";"3";"C";"1";"b";FALSE;46;-0.2;7;"24";361.16;1651;"24/12/15";"24/12/15";"31/12/15";"";"medie";66;103.5;1289.84;486.732075471698;847.1;360.367924528302;0.425413675514463;1.52265375988667;"1";"3";"1.3";"SX"
"OO";"3";"B";"1";"b";FALSE;42;0.12;37;"28";360.98;1546;"24/12/15";"29/12/15";"16/02/16";"";"tante";54;103.5;1185.02;447.177358490566;817.1;369.922641509434;0.452726277700935;1.45027536409252;"1";"2";"1.2";"SX"
"CO";"9";"A";"1";"b";FALSE;39;0.06;63;"16";364.5;1409;"24/12/15";"29/12/15";"16/02/16";"";"assenti";114;103.5;1044.5;394.150943396226;791.1;396.949056603774;0.501768495264535;1.32031348754898;"1";"1";"1.1";"DX"
"CO";"9";"C";"1";"b";FALSE;47;1.27;28;"9";370;1498;"29/12/15";"03/02/15";"16/02/16";"";"medie";138;103.5;1128;425.660377358491;826.1;400.439622641509;0.484735047381079;1.36545212444014;"1";"3";"1.3";"DX"
"CO";"9";"B";"1";"b";FALSE;43;0.52;65;"29";361.3;1469;"28/12/15";"15/01/15";"16/02/16";"";"poche";126;103.5;1107.7;418;789.1;371.1;0.470282600430871;1.40375110885819;"1";"2";"1.2";"DX"
"CO";"10";"A";"1";"b";FALSE;40;-0.86;75;"17";196;1363;"23/12/15";"24/12/15";"31/12/15";"";"assenti";150;103.5;1167;440.377358490566;779.1;338.722641509434;0.434761444627691;1.49788217173662;"1";"1";"1.1";"SX"
"CO";"10";"B";"1";"b";FALSE;44;0.91;19;"5";359;1465;"28/12/15";"15/01/15";"16/02/16";"";"medie";162;103.5;1106;417.358490566038;835.1;417.741509433962;0.500229325151434;1.3243922883487;"1";"2";"1.2";"SX"
"CO";"10";"C";"1";"26";TRUE;56;0.35;50;NA;196;1353;"16/11/15";"16/11/15";"30/11/15";"";"poche";174;102.905517241379;1157;436.603773584906;804.1;367.496226415094;0.457028014444838;1.43887576172118;"1";"3";"1.3";"SX"
"OO";"1";"C";"1";"E";TRUE;5;99.58;33;"20";267;1392;"05/02/16";"05/02/16";"16-02-2016";"";"";30;102.224137931034;1125;424.528301886792;821.1;396.571698113208;0.482976127284384;1.37011326269638;"1";"3";"1.3";"DX"
