Instrument type : Porosimeter 2000							
0.020	25.600	36.643	23.040	0.360			
0.021	25.800	36.471	23.220	0.180			
0.021	26.000	36.301	23.400	0.180			
0.021	26.800	36.153	24.120	0.720			
0.021	26.900	35.983	24.210	0.090			
0.021	27.100	35.817	24.390	0.180			
0.021	27.200	35.650	24.480	0.090			
0.021	27.900	35.504	25.110	0.630			
0.021	28.100	35.343	25.290	0.180			
0.021	28.300	35.183	25.470	0.180			
0.021	28.400	35.022	25.560	0.090			
0.022	29.000	34.878	26.100	0.540			
0.022	29.200	34.722	26.280	0.180			
0.022	29.300	34.565	26.370	0.090			
0.022	29.400	34.410	26.460	0.090			
0.022	29.700	34.261	26.730	0.270			
0.022	29.900	34.111	26.910	0.180			
0.022	30.100	33.963	27.090	0.180			
0.022	30.300	33.815	27.270	0.180			
0.022	30.500	33.669	27.450	0.180			
0.022	30.800	33.527	27.720	0.270			
0.022	30.900	33.381	27.810	0.090			
0.023	31.100	33.238	27.990	0.180			
0.023	31.300	33.097	28.170	0.180			
0.023	31.500	32.813	28.350	0.180			
0.023	31.700	32.675	28.530	0.180			
0.023	31.900	32.539	28.710	0.180			
0.023	32.200	32.406	28.980	0.270			
0.023	32.300	32.269	29.070	0.090			
0.023	32.400	32.133	29.160	0.090			
0.023	32.900	32.009	29.610	0.450			
0.024	33.200	31.746	29.880	0.270			
0.024	33.400	31.617	30.060	0.180			
0.024	33.500	31.487	30.150	0.090			
0.024	33.800	31.363	30.420	0.270			
0.024	33.900	31.234	30.510	0.090			
0.024	34.300	31.115	30.870	0.360			
0.024	35.000	31.003	31.500	0.630			
0.024	35.500	30.888	31.950	0.450			
0.024	35.600	30.763	32.040	0.090			
0.024	35.800	30.642	32.220	0.180			
0.024	36.100	30.525	32.490	0.270			
0.025	36.300	30.405	32.670	0.180			
0.025	36.500	30.165	32.850	0.180			
0.025	36.700	30.049	33.030	0.180			
0.025	36.800	29.931	33.120	0.090			
0.025	37.000	29.817	33.300	0.180			
0.025	37.300	29.705	33.570	0.270			
0.025	37.700	29.597	33.930	0.360			
0.025	37.800	29.483	34.020	0.090			
0.026	38.000	29.257	34.200	0.180			
0.026	38.200	29.035	34.380	0.180			
0.026	38.600	28.931	34.740	0.360			
0.026	39.000	28.828	35.100	0.360			
0.026	39.200	28.722	35.280	0.180			
0.026	39.400	28.617	35.460	0.180			
0.026	39.600	28.512	35.640	0.180			
0.026	39.800	28.408	35.820	0.180			
0.026	39.900	28.303	35.910	0.090			
0.027	40.000	28.198	36.000	0.090			
0.027	40.100	27.989	36.090	0.090			
0.027	40.400	27.891	36.360	0.270			
0.027	40.500	27.790	36.450	0.090			
0.027	40.600	27.689	36.540	0.090			
0.027	40.900	27.593	36.810	0.270			
0.027	41.200	27.498	37.080	0.270			
0.027	41.300	27.399	37.170	0.090			
0.027	41.500	27.303	37.350	0.180			
0.027	41.700	27.208	37.530	0.180			
0.028	41.900	27.113	37.710	0.180			
0.028	42.200	26.924	37.980	0.270			
0.028	42.400	26.831	38.160	0.180			
0.028	42.500	26.737	38.250	0.090			
0.028	42.600	26.644	38.340	0.090			
0.028	42.900	26.555	38.610	0.270			
0.028	43.000	26.463	38.700	0.090			
0.028	43.200	26.373	38.880	0.180			
0.029	43.500	26.194	39.150	0.270			
0.029	43.800	26.108	39.420	0.270			
0.029	43.900	26.019	39.510	0.090			
0.029	44.100	25.933	39.690	0.180			
0.029	44.200	25.756	39.780	0.090			
0.029	44.500	25.585	40.050	0.270			
0.029	44.800	25.503	40.320	0.270			
0.030	44.900	25.418	40.410	0.090			
0.030	45.000	25.334	40.500	0.090			
0.030	45.100	25.250	40.590	0.090			
0.030	45.200	25.167	40.680	0.090			
0.030	45.500	25.004	40.950	0.270			
0.030	45.700	24.924	41.130	0.180			
0.030	45.800	24.843	41.220	0.090			
0.030	46.000	24.764	41.400	0.180			
0.030	46.100	24.684	41.490	0.090			
0.031	46.200	24.604	41.580	0.090			
0.031	46.400	24.527	41.760	0.180			
0.031	46.700	24.372	42.030	0.270			
0.031	46.900	24.296	42.210	0.180			
0.031	47.000	24.141	42.300	0.090			
0.031	47.100	24.065	42.390	0.090			
0.031	47.300	23.991	42.570	0.180			
0.031	47.400	23.916	42.660	0.090			
0.031	47.500	23.841	42.750	0.090			
0.032	47.600	23.767	42.840	0.090			
0.032	47.700	23.618	42.930	0.090			
0.032	48.000	23.548	43.200	0.270			
0.032	48.100	23.476	43.290	0.090			
0.032	48.300	23.333	43.470	0.180			
0.032	48.600	23.264	43.740	0.270			
0.032	48.700	23.194	43.830	0.090			
0.032	49.100	23.057	44.190	0.360			
0.033	49.200	22.987	44.280	0.090			
0.033	49.300	22.918	44.370	0.090			
0.033	49.400	22.850	44.460	0.090			
0.033	49.600	22.783	44.640	0.180			
0.033	49.700	22.715	44.730	0.090			
0.033	49.800	22.648	44.820	0.090			
0.033	49.900	22.581	44.910	0.090			
0.033	50.100	22.516	45.090	0.180			
0.033	50.200	22.449	45.180	0.090			
0.034	50.400	22.318	45.360	0.180			
0.034	50.700	22.190	45.630	0.270			
0.034	51.000	22.128	45.900	0.270			
0.034	51.100	22.064	45.990	0.090			
0.034	51.200	22.001	46.080	0.090			
0.034	51.300	21.937	46.170	0.090			
0.034	51.400	21.875	46.260	0.090			
0.034	51.600	21.813	46.440	0.180			
0.034	51.700	21.751	46.530	0.090			
0.034	51.800	21.689	46.620	0.090			
0.035	51.900	21.566	46.710	0.090			
0.035	52.000	21.505	46.800	0.090			
0.035	52.100	21.445	46.890	0.090			
0.035	52.200	21.385	46.980	0.090			
0.035	52.400	21.326	47.160	0.180			
0.035	52.500	21.267	47.250	0.090			
0.035	52.600	21.208	47.340	0.090			
0.035	52.700	21.149	47.430	0.090			
0.036	52.800	21.091	47.520	0.090			
0.036	52.900	21.033	47.610	0.090			
0.036	53.100	20.976	47.790	0.180			
0.036	53.200	20.919	47.880	0.090			
0.036	53.300	20.861	47.970	0.090			
0.036	53.400	20.805	48.060	0.090			
0.036	53.500	20.748	48.150	0.090			
0.036	53.600	20.692	48.240	0.090			
0.036	53.800	20.637	48.420	0.180			
0.036	53.900	20.581	48.510	0.090			
0.037	54.000	20.470	48.600	0.090			
0.037	54.300	20.418	48.870	0.270			
0.037	54.500	20.364	49.050	0.180			
0.037	54.700	20.311	49.230	0.180			
0.037	55.000	20.259	49.500	0.270			
0.037	55.200	20.207	49.680	0.180			
0.037	55.300	20.153	49.770	0.090			
0.037	55.500	20.101	49.950	0.180			
0.037	55.600	20.049	50.050	0.090			
0.038	55.700	19.943	50.140	0.090			
0.038	55.800	19.891	50.230	0.090			
0.038	56.000	19.840	50.410	0.180			
0.038	56.100	19.789	50.500	0.090			
0.038	56.300	19.687	50.680	0.180			
0.038	56.400	19.636	50.770	0.090			
0.038	56.500	19.586	50.860	0.090			
0.038	56.600	19.536	50.950	0.090			
0.038	56.700	19.486	51.040	0.090			
0.038	56.800	19.437	51.130	0.090			
0.039	57.000	19.338	51.310	0.180			
0.039	57.300	19.291	51.580	0.270			
0.039	57.400	19.243	51.670	0.090			
0.039	57.500	19.194	51.760	0.090			
0.039	57.600	19.146	51.850	0.090			
0.039	57.700	19.098	51.940	0.090			
